Серия_индивид. планировка,Серия_элитка,Серия_106 серия,Серия_хрущевка,Серия_104 серия,Серия_108 серия,Серия_105 серия,Серия_пентхаус,Серия_малосемейка,Серия_сталинка,Серия_107 серия,Отопление_на газе,Отопление_центральное,Отопление_автономное,Отопление_электрическое,Отопление_смешанное,Отопление_на твердом топливе,Отопление_без отопления,Состояние_евроремонт,Состояние_под самоотделку (псо),Состояние_хорошее,Состояние_среднее,Состояние_не достроено,rooms,area,От собственника,year,house_type_кирпичный,house_type_монолитный,house_type_панельный,floor,total_floors,red_book,tech_passport,sale_contract,price_per_sqm
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,57.0,0,2023,1,0,0,4,10,0,0,0,1719.298245614035
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,87.0,0,2025,0,1,0,13,14,1,0,0,1101.1494252873563
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,105.0,0,2022,0,1,0,11,16,0,0,0,2190.4761904761904
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,211.0,0,2019,1,0,0,2,2,0,0,0,1137.4407582938388
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,62.0,0,2023,0,1,0,12,14,1,0,0,1435.483870967742
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,88.0,0,1987,0,0,1,5,5,0,1,1,1420.4545454545455
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,35.0,0,1987,0,0,1,2,9,0,1,0,1585.7142857142858
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,103.0,0,2016,0,1,0,3,15,0,1,1,1291.2621359223301
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,86.0,0,2024,0,1,0,6,18,1,0,0,1480.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,55.0,0,2020,0,1,0,1,5,0,1,1,1181.8181818181818
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,87.0,1,2026,0,1,0,5,16,0,0,0,1500.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,46.0,0,2024,0,1,0,8,13,1,0,0,1239.1304347826087
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42.0,0,2023,0,1,0,8,10,0,0,0,1547.6190476190477
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,54.8,0,2019,1,0,0,8,12,0,0,0,2372.262773722628
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,72.0,0,2025,1,0,0,15,16,0,0,0,1300.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,37.0,0,2022,0,1,0,14,15,0,0,0,1270.2702702702702
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,62.0,0,2023,0,1,0,9,12,1,0,0,1395.1612903225807
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,77.0,0,2019,1,0,0,4,5,0,1,1,1181.8181818181818
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,58.0,0,1975,0,0,1,1,3,0,0,0,858.6206896551724
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,46.0,0,2023,0,1,0,10,14,0,0,0,1456.5217391304348
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,100.0,0,1992,0,1,0,1,9,0,1,1,1380.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,48.59,0,2025,1,0,0,10,10,0,0,0,1136.0362214447416
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,46.0,0,1980,1,0,0,3,5,0,1,1,1739.1304347826087
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,58.0,0,1975,0,0,1,3,5,0,0,0,1629.3103448275863
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,48.0,0,1990,0,0,1,1,5,0,0,0,1572.9166666666667
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,49.0,0,2025,0,1,0,11,14,1,0,0,1122.4489795918366
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,65.0,0,2022,0,1,0,13,13,0,0,0,1846.1538461538462
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,51.0,0,2019,1,0,0,2,5,1,1,1,1137.2549019607843
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,45.0,1,2023,1,0,0,4,12,0,0,0,1377.7777777777778
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,181.0,0,2021,0,1,0,10,14,1,0,0,1550.0
